Date of IPO,Name,Ticker,ROI,ARR,Status,
2020-11-13,CF Finance Acquisition Corporation III,CFAC,3.9,9.6,Announced an Acquisition,
2020-11-11,Northern Star Acquisition Corporation,STIC,31.2,88.8,Announced an Acquisition,
2020-11-10,TS Innovation Acquisitions Corp.,TSIA,8.1,19.7,Announced an Acquisition,
2020-10-30,New Beginnings Acquisition Corporation,NBA,7.4,16.8,Announced an Acquisition,
2020-10-28,Ajax I,AJAX,4.8,10.5,Announced an Acquisition,
2020-10-28,Atlas Crest Investment Corporation,ACIC,3.6,7.9,Announced an Acquisition,
2020-10-23,Acies Acquisition Corporation,ACAC,3.8,8.2,Announced an Acquisition,
2020-10-23,Altimar Acquisition Corporation,ATAC,3.9,8.3,Announced an Acquisition,
2020-10-22,Cerberus Telecom Acquisition Corporation,CTAC,2.3,4.9,Announced an Acquisition,
2020-10-22,Rice Acquisition Corporation,RICE,73.5,213.3,Announced an Acquisition,
2020-10-21,Supernova Partners Acquisition Company Inc.,SPNV,5.5,11.7,Announced an Acquisition,
2020-10-20,Good Works Acquisition Corporation,GWAC,10.7,23.2,Announced an Acquisition,
2020-10-20,Decarbonization Plus Acquisition Corporation,DCRB,7.4,15.7,Announced an Acquisition,
2020-10-15,Motion Acquisition Corporation,MOTN,1.7,3.4,Announced an Acquisition,
2020-10-09,Social Capital Hedosophia V,IPOE,74.6,193.3,Announced an Acquisition,
2020-10-09,"Landcadia Holdings III, Inc.",LCY,10.7,21.6,Announced an Acquisition,
2020-10-07,Empower Limited,EMPW,3.9,7.6,Announced an Acquisition,
2020-10-07,TPG Pace Beneficial Finance Corporation,TPGY,53.7,127.4,Announced an Acquisition,
2020-10-07,TPG Pace Tech Opportunities Corporation,PACE,2.5,4.9,Announced an Acquisition,
2020-10-07,NextGen Acquisition Corporation,NGAC,4.6,9.0,Announced an Acquisition,
2020-10-02,ION Acquisition Corporation 1 Limited,IACA,5.6,10.6,Announced an Acquisition,
2020-10-02,VG Acquisition Corporation,VGAC,4.7,9.0,Announced an Acquisition,
2020-10-01,Altimeter Growth Corporation,AGC,33.8,71.4,Announced an Acquisition,
2020-09-30,Qell Acquisition Corporation,QELL,5.5,10.4,Announced an Acquisition,
2020-09-30,FG New America Acquisition Corporation,FGNA,9.2,17.5,Announced an Acquisition,
2020-09-30,Climate Change Crisis Real Impact I Acquisition Corporation,CLII,21.6,43.4,Announced an Acquisition,
2020-09-30,Vesper Healthcare Acquisition Corporation,VSPR,9.2,17.5,Announced an Acquisition,
2020-09-25,Vector Acquisition Corporation,VACQ,16.2,31.0,Announced an Acquisition,
2020-09-25,Fintech Acquisition Corporation IV,FTIV,14.7,27.9,Announced an Acquisition,
2020-09-24,Peridot Acquisition Corporation,PDAC,15.6,29.6,Announced an Acquisition,
2020-09-23,Aspirational Consumer Lifestyle Corporation,ASPL,4.3,7.8,Announced an Acquisition,
2020-09-23,VPC Impact Acquisition Holdings,VIH,30.8,61.3,Announced an Acquisition,
2020-09-23,ArcLight Clean Transition Corporation,ACTC,78.9,181.5,Announced an Acquisition,
2020-09-22,Falcon Capital Acquisition Corporation,FCAC,3.9,7.0,Announced an Acquisition,
2020-09-18,Alpha Healthcare Acquisition Corporation,AHAC,21.9,41.1,Announced an Acquisition,
2020-09-17,Reinvent Technology Partners,RTP,5.0,8.8,Announced an Acquisition,
2020-09-15,Sandbridge Acquisition Corporation,SBG,4.1,7.2,Announced an Acquisition,
2020-09-15,Software Acquisition Group Inc. II,SAII,8.4,14.8,Announced an Acquisition,
2020-09-11,TWC Tech Holdings II Corporation,TWCT,2.4,4.1,Announced an Acquisition,
2020-09-11,Tortoise Acquisition Corporation II,SNPR,5.2,8.9,Announced an Acquisition,
2020-09-10,Starboard Value Acquisition Corporation,SVAC,1.5,2.6,Announced an Acquisition,
2020-09-10,"NavSight Holdings, Inc.",NSH,5.1,8.7,Announced an Acquisition,
2020-09-09,"Industrial Tech Acquisition, Inc.",ITAC,11.0,19.0,Announced an Acquisition,
2020-09-04,Tailwind Acquisition Corporation,TWND,3.9,6.4,Announced an Acquisition,
2020-09-04,Highcape Capital Acquisition Corporation,CAPA,15.2,26.0,Announced an Acquisition,
2020-09-03,BCTG Acquisition Corporation,BCTG,24.0,41.8,Announced an Acquisition,
2020-09-02,"CM Life Sciences, Inc.",CMLF,55.4,103.8,Announced an Acquisition,
2020-08-26,FTAC Olympus Acquisition Corporation,FTOC,7.7,12.3,Announced an Acquisition,
2020-08-21,FAST Acquisition Corporation,FST,43.0,73.1,Announced an Acquisition,
2020-08-19,Forum Merger III Corporation,FIII,5.0,7.7,Announced an Acquisition,
2020-08-18,Star Peak Energy Transition,STPK,207.5,448.0,Announced an Acquisition,
2020-08-18,one,AONE,6.9,10.6,Announced an Acquisition,
2020-08-18,Northern Genesis Acquisition Corporation,NGA,74.7,132.8,Announced an Acquisition,
2020-08-14,Dragoneer Growth Opportunities Corporation,DGNR,4.3,6.5,Announced an Acquisition,
2020-08-12,Fortress Value Acquisition Corporation II,FAII,3.0,4.4,Announced an Acquisition,
2020-08-07,Vistas Media Acquisition Company Inc.,VMAC,4.4,6.4,Announced an Acquisition,
2020-08-07,ARYA Sciences Acquisition Corporation III,ARYA,20.4,30.9,Announced an Acquisition,
2020-08-06,"Gores Holdings V, Inc.",GRSV,3.4,5.0,Announced an Acquisition,
2020-08-06,Kismet Acquisition One Corporation,KSMT,2.4,3.5,Announced an Acquisition,
2020-08-05,Holicity Inc.,HOL,7.7,11.3,Announced an Acquisition,
2020-08-05,BowX Acquisition Corporation,BOWX,30.5,46.6,Announced an Acquisition,
2020-07-31,NewHold Investment Corporation,NHIC,5.0,7.1,Announced an Acquisition,
2020-07-30,Churchill Capital Corporation IV,CCIV,111.9,187.0,Announced an Acquisition,
2020-07-28,ACE Convergence Acquisition Corporation,ACEV,7.6,10.7,Announced an Acquisition,
2020-07-24,Ascendant Digital Acquisition Corporation,ACND,5.1,7.0,Announced an Acquisition,
2020-07-22,Property Solutions Acquisition Corporation,PSAC,45.2,66.2,Announced an Acquisition,
2020-07-17,Deerfield Healthcare Technology Acquisition Corporation,DFHT,39.3,55.8,Announced an Acquisition,
2020-07-15,D8 Holdings Corporation,DEH,6.7,8.9,Announced an Acquisition,
2020-07-15,Malacca Straits Acquisition Company Limited,MLAC,3.6,4.7,Announced an Acquisition,
2020-07-14,Artius Acquisition Inc.,AACQ,5.5,7.4,Announced an Acquisition,
2020-07-08,Therapeutics Acquisition Corporation,RACA,0.3,0.4,Announced an Acquisition,
2020-06-26,Fusion Acquisition Corporation,FUSE,5.6,7.0,Announced an Acquisition,
2020-06-09,Hudson Executive Investment Corporation,HEC,5.7,6.7,Announced an Acquisition,
2020-05-27,Foley Trasimene Acquisition Corporation,WPF,5.6,6.4,Announced an Acquisition,
2020-05-14,"GigCapital3, Inc.",GIK,3.1,3.3,Announced an Acquisition,
2020-05-14,Jaws Acquisition Corporation,JWS,45.3,49.8,Announced an Acquisition,
2020-05-06,Sustainable Opportunities Acquisition Corporation,SOAC,4.8,5.0,Announced an Acquisition,
2020-04-23,Chardan Healthcare Acquisition 2 Corporation,CHAQ,10.1,10.3,Announced an Acquisition,
2020-02-20,East Stone Acquisition Corporation,ESSC,2.3,2.0,Announced an Acquisition,
2020-02-11,Greenrose Acquisition Corporation,GNRS,7.0,5.9,Announced an Acquisition,
2019-11-26,Alussa Energy Acquisition Corporation,ALUS,9.1,6.5,Announced an Acquisition,
2019-11-19,GreenVision Acquisition Corporation,GRNV,17.2,12.0,Announced an Acquisition,
2019-11-08,"Juniper Industrial Holdings, Inc.",JIH,53.5,34.7,Announced an Acquisition,
2019-11-08,Stable Road Acquisition Corporation,SRAC,25.7,17.2,Announced an Acquisition,
2019-11-07,LGL Systems Acquisition Corporation,DFNS,4.2,2.9,Announced an Acquisition,
2019-11-01,FinServ Acquisition Corporation,FSRV,52.6,33.6,Announced an Acquisition,
2019-11-01,Osprey Technology Acquisition Corporation,SFTW,7.0,4.7,Announced an Acquisition,
2019-10-18,Union Acquisition Corporation II,LATN,7.6,5.0,Announced an Acquisition,
2019-09-17,Apex Technology Acquisition Corporation,APXT,23.3,14.1,Announced an Acquisition,
2019-09-13,Experience Investment Corporation,EXPC,6.2,3.9,Announced an Acquisition,
2019-08-09,"Thunder Bridge Acquisition II, Limited",THBR,9.5,5.5,Announced an Acquisition,
2019-08-08,Silver Spike Acquisition Corporation,SSPK,118.2,58.7,Announced an Acquisition,
2019-07-12,SC Health Corporation,SCPE,6.8,3.8,Announced an Acquisition,
2019-06-27,Churchill Capital Corporation II,CCX,4.8,2.6,Announced an Acquisition,
2019-06-06,"GigCapital2, Inc.",GIX,11.9,6.2,Announced an Acquisition,
2019-05-21,Gx Acquisition Corporation,GXGX,6.7,3.5,Announced an Acquisition,
2019-03-08,Crescent Acquisition Corporation,CRSA,6.7,3.1,Announced an Acquisition,
2019-03-05,Tuscan Holdings Corporation,THCB,35.0,15.2,Announced an Acquisition,
2019-01-29,Andina Acquisition Corporation III,ANDA,12.6,5.5,Announced an Acquisition,
2018-10-24,Alberton Acquisition Corporation,ALAC,17.3,6.6,Announced an Acquisition,
2018-05-29,Trident Acquisition Corporation,TDAC,43.0,13.2,Announced an Acquisition,
2017-12-01,Leisure Acquisition Corporation,LACQ,32.2,8.6,Announced an Acquisition,
2017-11-20,Big Rock Partners Acquisition Corporation,BRPA,316.3,52.0,Announced an Acquisition,
